UP_id	tax_group
UniRef50_A0A2D6X6V8	Archaea
UniRef50_A0A2D6X750	Archaea
UniRef50_A0A2D6X753	Archaea
UniRef50_A0A2D6X7C8	Archaea
UniRef50_A0A2D6X7E3	Archaea
UniRef50_A0A2D6X7I5	Archaea
UniRef50_A0A2D6X7M0	Archaea
UniRef50_A0A2D6X7M7	Archaea
UniRef50_A0A2D6X7Z6	Archaea
UniRef50_A0A2D6X801	Archaea
UniRef50_A0A2D6X843	Archaea
UniRef50_A0A2D6X8E3	Archaea
UniRef50_A0A2D6X8K9	Archaea
UniRef50_A0A2D6X8M4	Archaea
UniRef50_A0A2D6X905	Archaea
UniRef50_A0A2D6X920	Archaea
UniRef50_A0A2D6X928	Archaea
UniRef50_A0A2D6X938	Archaea
UniRef50_A0A2D6X957	Archaea
UniRef50_A0A2D6X959	Archaea
UniRef50_A0A2D6X9B1	Archaea
UniRef50_A0A2D6X9G8	Archaea
UniRef50_A0A2D6X9T0	Archaea
UniRef50_A0A2D6X9Z9	Archaea
UniRef50_A0A2D6XA12	Archaea
UniRef50_A0A2D6XAD7	Archaea
UniRef50_A0A2D6XAE0	Archaea
UniRef50_A0A2D6XAF2	Archaea
UniRef50_A0A2D6XAF5	Archaea
UniRef50_A0A2D6XAM5	Archaea
UniRef50_A0A2D6XAU6	Archaea
UniRef50_A0A2D6XAY0	Archaea
UniRef50_A0A2D6XB82	Archaea
UniRef50_A0A2D6XBG5	Archaea
UniRef50_A0A2D6XBH1	Archaea
UniRef50_A0A2D6XBH8	Archaea
UniRef50_A0A2D6XBH9	Archaea
UniRef50_A0A2D6XBJ2	Archaea
UniRef50_A0A2D6XBR4	Archaea
UniRef50_A0A2D6XBT1	Archaea
UniRef50_A0A2D6XBV2	Archaea
UniRef50_A0A2D6XC00	Archaea
UniRef50_A0A2D6XC10	Archaea
UniRef50_A0A2D6XCP8	Archaea
UniRef50_A0A2D6XCW2	Archaea
UniRef50_A0A2D6XCW9	Archaea
UniRef50_A0A2D6XCZ0	Archaea
UniRef50_A0A2D6XD42	Archaea
UniRef50_A0A2D6XD46	Archaea
UniRef50_A0A2D6XD65	Archaea
UniRef50_A0A2D6XD86	Archaea
UniRef50_A0A2D6XD94	Archaea
UniRef50_A0A2D6XDA0	Archaea
UniRef50_A0A2D6XDB1	Archaea
UniRef50_A0A2D6XDD3	Archaea
UniRef50_A0A2D6XDF9	Archaea
UniRef50_A0A2D6XDJ1	Archaea
UniRef50_A0A2D6XDN6	Archaea
UniRef50_A0A2D6XDP5	Archaea
UniRef50_A0A2D6XDT8	Archaea
UniRef50_A0A2D6XDV3	Archaea
UniRef50_A0A2D6XEC1	Archaea
UniRef50_A0A2D6XED4	Archaea
UniRef50_A0A2D6XFD5	Archaea
UniRef50_A0A2D6XFU8	Archaea
UniRef50_A0A2D6XFW1	Archaea
UniRef50_A0A2D6XG07	Archaea
UniRef50_A0A2D6XG77	Archaea
UniRef50_A0A2D6XG91	Archaea
UniRef50_A0A2D6XGG6	Archaea
UniRef50_A0A2D6XGK4	Archaea
UniRef50_A0A2D6XGN2	Archaea
UniRef50_A0A2D6XGS7	Archaea
UniRef50_A0A2D6XGU1	Archaea
UniRef50_A0A2D6XGV2	Archaea
UniRef50_A0A2D6XGZ7	Archaea
UniRef50_A0A2D6XH44	Archaea
UniRef50_A0A2D6XH51	Archaea
UniRef50_A0A2D6XH81	Archaea
UniRef50_A0A2D6XHA2	Archaea
UniRef50_A0A2D6XHA3	Archaea
UniRef50_A0A2D6XHI3	Archaea
UniRef50_A0A2D6XHN0	Archaea
UniRef50_A0A2D6XHN4	Archaea
UniRef50_A0A2D6XHU3	Archaea
UniRef50_A0A2D6XHV9	Archaea
UniRef50_A0A2D6XI88	Archaea
UniRef50_A0A2D6XIG6	Archaea
UniRef50_A0A2D6XIH8	Archaea
UniRef50_A0A2D6XII0	Archaea
UniRef50_A0A2D6XII6	Archaea
